n0,n1,d0_dec,d1_dec,Delta_signed_dec,Delta_modN_dec,P0_0_x_y,P1_0_x_y,P0_plus_DeltaG_0_x_y,verify
51,52,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002058769515153876,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004216495639600700,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002157726124446824,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002157726124446824,0.000000000000000000000000000000000000000000000000000000000000000000000000000000063515334313235940978997497997309110945131154723579807607384497547958713837455.000000000000000000000000000000000000000000000000000000000000000000000000000000058372837009371438499600708449369979083506963697147052846447906363256905894908,0.000000000000000000000000000000000000000000000000000000000000000000000000000000052813238566474594496574906867435567565233423293475819066208762163447782904999.000000000000000000000000000000000000000000000000000000000000000000000000000000098011757932358350962613998289386682535741825041444942664745561971592823444973,0.000000000000000000000000000000000000000000000000000000000000000000000000000000052813238566474594496574906867435567565233423293475819066208762163447782904999.000000000000000000000000000000000000000000000000000000000000000000000000000000098011757932358350962613998289386682535741825041444942664745561971592823444973,True
52,53,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004216495639600700,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006763683971478124,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002547188331877424,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002547188331877424,0.000000000000000000000000000000000000000000000000000000000000000000000000000000052813238566474594496574906867435567565233423293475819066208762163447782904999.000000000000000000000000000000000000000000000000000000000000000000000000000000098011757932358350962613998289386682535741825041444942664745561971592823444973,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007086754227407391658152234626386289704606906620229921345536119461826835276617.000000000000000000000000000000000000000000000000000000000000000000000000000000045806165569194256586261502717728099690457099843611552664107027616191159246392,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007086754227407391658152234626386289704606906620229921345536119461826835276617.000000000000000000000000000000000000000000000000000000000000000000000000000000045806165569194256586261502717728099690457099843611552664107027616191159246392,True
53,54,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006763683971478124,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009974455244496707,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003210771273018583,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003210771273018583,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007086754227407391658152234626386289704606906620229921345536119461826835276617.000000000000000000000000000000000000000000000000000000000000000000000000000000045806165569194256586261502717728099690457099843611552664107027616191159246392,0.000000000000000000000000000000000000000000000000000000000000000000000000000000033903532250825920011423262729318037347523984276123141340942803818961706296726.000000000000000000000000000000000000000000000000000000000000000000000000000000000168743002427289881765681417490337978467882455308235152692948563217619698893,0.000000000000000000000000000000000000000000000000000000000000000000000000000000033903532250825920011423262729318037347523984276123141340942803818961706296726.000000000000000000000000000000000000000000000000000000000000000000000000000000000168743002427289881765681417490337978467882455308235152692948563217619698893,True
54,55,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009974455244496707,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030045390491869460,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020070935247372753,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020070935247372753,0.000000000000000000000000000000000000000000000000000000000000000000000000000000033903532250825920011423262729318037347523984276123141340942803818961706296726.000000000000000000000000000000000000000000000000000000000000000000000000000000000168743002427289881765681417490337978467882455308235152692948563217619698893,0.000000000000000000000000000000000000000000000000000000000000000000000000000000060445698216621826856287952149610390835450647855250491824511024996101472713059.000000000000000000000000000000000000000000000000000000000000000000000000000000006650413705544923593404974197957088657590778889830546541291909209606529242729,0.000000000000000000000000000000000000000000000000000000000000000000000000000000060445698216621826856287952149610390835450647855250491824511024996101472713059.000000000000000000000000000000000000000000000000000000000000000000000000000000006650413705544923593404974197957088657590778889830546541291909209606529242729,True
55,56,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030045390491869460,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044218742292676575,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014173351800807115,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014173351800807115,0.000000000000000000000000000000000000000000000000000000000000000000000000000000060445698216621826856287952149610390835450647855250491824511024996101472713059.000000000000000000000000000000000000000000000000000000000000000000000000000000006650413705544923593404974197957088657590778889830546541291909209606529242729,0.000000000000000000000000000000000000000000000000000000000000000000000000000000028576446286465130798687394270835338936156158272521290958787272130765482596762.000000000000000000000000000000000000000000000000000000000000000000000000000000101338706018188911277721114497155019368847601339832684197459624859833147765647,0.000000000000000000000000000000000000000000000000000000000000000000000000000000028576446286465130798687394270835338936156158272521290958787272130765482596762.000000000000000000000000000000000000000000000000000000000000000000000000000000101338706018188911277721114497155019368847601339832684197459624859833147765647,True
56,57,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044218742292676575,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000138245758910846492,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000094027016618169917,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000094027016618169917,0.000000000000000000000000000000000000000000000000000000000000000000000000000000028576446286465130798687394270835338936156158272521290958787272130765482596762.000000000000000000000000000000000000000000000000000000000000000000000000000000101338706018188911277721114497155019368847601339832684197459624859833147765647,0.000000000000000000000000000000000000000000000000000000000000000000000000000000074691033661854708945097969794875545130743253282866857528646094060486887766762.000000000000000000000000000000000000000000000000000000000000000000000000000000050520096726607883683128959576900318161316692878968149241991939304173485276380,0.000000000000000000000000000000000000000000000000000000000000000000000000000000074691033661854708945097969794875545130743253282866857528646094060486887766762.000000000000000000000000000000000000000000000000000000000000000000000000000000050520096726607883683128959576900318161316692878968149241991939304173485276380,True
57,58,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000138245758910846492,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000199976667976342049,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000061730909065495557,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000061730909065495557,0.000000000000000000000000000000000000000000000000000000000000000000000000000000074691033661854708945097969794875545130743253282866857528646094060486887766762.000000000000000000000000000000000000000000000000000000000000000000000000000000050520096726607883683128959576900318161316692878968149241991939304173485276380,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007842290535780881515467118634686610054213231290193967407475681065888263921474.000000000000000000000000000000000000000000000000000000000000000000000000000000037223995011863042135269033180096052877832679834151924259363842760832235837987,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007842290535780881515467118634686610054213231290193967407475681065888263921474.000000000000000000000000000000000000000000000000000000000000000000000000000000037223995011863042135269033180096052877832679834151924259363842760832235837987,True
58,59,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000199976667976342049,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000525070384258266191,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000325093716281924142,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000325093716281924142,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007842290535780881515467118634686610054213231290193967407475681065888263921474.000000000000000000000000000000000000000000000000000000000000000000000000000000037223995011863042135269033180096052877832679834151924259363842760832235837987,0.000000000000000000000000000000000000000000000000000000000000000000000000000000029468339291227022490967140728449087203757816877061952957844349023051015394437.000000000000000000000000000000000000000000000000000000000000000000000000000000005867199329528628582491486657327247741547599271992614464633076311922995064508,0.000000000000000000000000000000000000000000000000000000000000000000000000000000029468339291227022490967140728449087203757816877061952957844349023051015394437.000000000000000000000000000000000000000000000000000000000000000000000000000000005867199329528628582491486657327247741547599271992614464633076311922995064508,True
59,60,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000525070384258266191,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001135041350219496382,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000609970965961230191,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000609970965961230191,0.000000000000000000000000000000000000000000000000000000000000000000000000000000029468339291227022490967140728449087203757816877061952957844349023051015394437.000000000000000000000000000000000000000000000000000000000000000000000000000000005867199329528628582491486657327247741547599271992614464633076311922995064508,0.000000000000000000000000000000000000000000000000000000000000000000000000000000032976901974812130467888454680865813064186458215596336709018932995219129999629.000000000000000000000000000000000000000000000000000000000000000000000000000000094344309747317421167124060163550008068954848013402657284162153757492808086031,0.000000000000000000000000000000000000000000000000000000000000000000000000000000032976901974812130467888454680865813064186458215596336709018932995219129999629.000000000000000000000000000000000000000000000000000000000000000000000000000000094344309747317421167124060163550008068954848013402657284162153757492808086031,True
60,61,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001135041350219496382,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001425787542618654982,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000290746192399158600,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000290746192399158600,0.000000000000000000000000000000000000000000000000000000000000000000000000000000032976901974812130467888454680865813064186458215596336709018932995219129999629.000000000000000000000000000000000000000000000000000000000000000000000000000000094344309747317421167124060163550008068954848013402657284162153757492808086031,0.000000000000000000000000000000000000000000000000000000000000000000000000000000033308989973171342073697220435010985741081235541259067848310503357357122078015.000000000000000000000000000000000000000000000000000000000000000000000000000000095725642944317286839874181564660753559887752233498128945789602194633150111324,0.000000000000000000000000000000000000000000000000000000000000000000000000000000033308989973171342073697220435010985741081235541259067848310503357357122078015.000000000000000000000000000000000000000000000000000000000000000000000000000000095725642944317286839874181564660753559887752233498128945789602194633150111324,True
61,62,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001425787542618654982,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003908372542507822062,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002482584999889167080,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002482584999889167080,0.000000000000000000000000000000000000000000000000000000000000000000000000000000033308989973171342073697220435010985741081235541259067848310503357357122078015.000000000000000000000000000000000000000000000000000000000000000000000000000000095725642944317286839874181564660753559887752233498128945789602194633150111324,0.000000000000000000000000000000000000000000000000000000000000000000000000000000015877604754714859824235961000680666017735583517798512888980505728230641434280.000000000000000000000000000000000000000000000000000000000000000000000000000000027676014891220873617147919511945292449354083613136393884603452417089983439557,0.000000000000000000000000000000000000000000000000000000000000000000000000000000015877604754714859824235961000680666017735583517798512888980505728230641434280.000000000000000000000000000000000000000000000000000000000000000000000000000000027676014891220873617147919511945292449354083613136393884603452417089983439557,True
62,63,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003908372542507822062,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008993229949524469768,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005084857407016647706,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005084857407016647706,0.000000000000000000000000000000000000000000000000000000000000000000000000000000015877604754714859824235961000680666017735583517798512888980505728230641434280.000000000000000000000000000000000000000000000000000000000000000000000000000000027676014891220873617147919511945292449354083613136393884603452417089983439557,0.000000000000000000000000000000000000000000000000000000000000000000000000000000046100860595331327753782525134281403195505409441031099411610412192590360561017.000000000000000000000000000000000000000000000000000000000000000000000000000000040756680259664337787317293734418135936366600101587916741588241469787632977445,0.000000000000000000000000000000000000000000000000000000000000000000000000000000046100860595331327753782525134281403195505409441031099411610412192590360561017.000000000000000000000000000000000000000000000000000000000000000000000000000000040756680259664337787317293734418135936366600101587916741588241469787632977445,True
63,64,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008993229949524469768,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017799667357578236628,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008806437408053766860,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008806437408053766860,0.000000000000000000000000000000000000000000000000000000000000000000000000000000046100860595331327753782525134281403195505409441031099411610412192590360561017.000000000000000000000000000000000000000000000000000000000000000000000000000000040756680259664337787317293734418135936366600101587916741588241469787632977445,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007247729308732252718492345551507130715155957421128527268563563649761751702861.000000000000000000000000000000000000000000000000000000000000000000000000000000036707592335952288811734416422045697926733415491378770888054924918276179427221,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007247729308732252718492345551507130715155957421128527268563563649761751702861.000000000000000000000000000000000000000000000000000000000000000000000000000000036707592335952288811734416422045697926733415491378770888054924918276179427221,True
64,65,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000017799667357578236628,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030568377312064202855,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012768709954485966227,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012768709954485966227,0.000000000000000000000000000000000000000000000000000000000000000000000000000000007247729308732252718492345551507130715155957421128527268563563649761751702861.000000000000000000000000000000000000000000000000000000000000000000000000000000036707592335952288811734416422045697926733415491378770888054924918276179427221,0.000000000000000000000000000000000000000000000000000000000000000000000000000000021769406468394979245979020739332080729679479243955596515614749275274212371227.000000000000000000000000000000000000000000000000000000000000000000000000000000102907830890434238525231690377346540046672568029169549965500018466490455252476,0.000000000000000000000000000000000000000000000000000000000000000000000000000000021769406468394979245979020739332080729679479243955596515614749275274212371227.000000000000000000000000000000000000000000000000000000000000000000000000000000102907830890434238525231690377346540046672568029169549965500018466490455252476,True
65,66,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030568377312064202855,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000046346217550346335726,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015777840238282132871,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015777840238282132871,0.000000000000000000000000000000000000000000000000000000000000000000000000000000021769406468394979245979020739332080729679479243955596515614749275274212371227.000000000000000000000000000000000000000000000000000000000000000000000000000000102907830890434238525231690377346540046672568029169549965500018466490455252476,0.000000000000000000000000000000000000000000000000000000000000000000000000000000035681022179418186873973468373280332442853574053612577039287936543695937260509.000000000000000000000000000000000000000000000000000000000000000000000000000000055769436514148338618765508764324988000805241152238207056637568135859289137720,0.000000000000000000000000000000000000000000000000000000000000000000000000000000035681022179418186873973468373280332442853574053612577039287936543695937260509.000000000000000000000000000000000000000000000000000000000000000000000000000000055769436514148338618765508764324988000805241152238207056637568135859289137720,True
66,67,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000046346217550346335726,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000132656943602386256302,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000086310726052039920576,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000086310726052039920576,0.000000000000000000000000000000000000000000000000000000000000000000000000000000035681022179418186873973468373280332442853574053612577039287936543695937260509.000000000000000000000000000000000000000000000000000000000000000000000000000000055769436514148338618765508764324988000805241152238207056637568135859289137720,0.000000000000000000000000000000000000000000000000000000000000000000000000000000008199270313230837952220440610769591593514599319024034412022685032436710272885.000000000000000000000000000000000000000000000000000000000000000000000000000000108680892268991160269437367347039106826837182347366220564480894908240312674034,0.000000000000000000000000000000000000000000000000000000000000000000000000000000008199270313230837952220440610769591593514599319024034412022685032436710272885.000000000000000000000000000000000000000000000000000000000000000000000000000000108680892268991160269437367347039106826837182347366220564480894908240312674034,True
67,68,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000132656943602386256302,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000219898266213316039825,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087241322610929783523,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000087241322610929783523,0.000000000000000000000000000000000000000000000000000000000000000000000000000000008199270313230837952220440610769591593514599319024034412022685032436710272885.000000000000000000000000000000000000000000000000000000000000000000000000000000108680892268991160269437367347039106826837182347366220564480894908240312674034,0.000000000000000000000000000000000000000000000000000000000000000000000000000000014417797224727152153976629935434818279260229220775673176904981236836807719451.000000000000000000000000000000000000000000000000000000000000000000000000000000007045521516762001123429259792443693948241323099305435512759425298741909160811,0.000000000000000000000000000000000000000000000000000000000000000000000000000000014417797224727152153976629935434818279260229220775673176904981236836807719451.000000000000000000000000000000000000000000000000000000000000000000000000000000007045521516762001123429259792443693948241323099305435512759425298741909160811,True
68,69,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000219898266213316039825,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000297274491920375905804,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000077376225707059865979,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000077376225707059865979,0.000000000000000000000000000000000000000000000000000000000000000000000000000000014417797224727152153976629935434818279260229220775673176904981236836807719451.000000000000000000000000000000000000000000000000000000000000000000000000000000007045521516762001123429259792443693948241323099305435512759425298741909160811,0.000000000000000000000000000000000000000000000000000000000000000000000000000000034226794014706530115784623034813193918417475105517896498394700850822182845011.000000000000000000000000000000000000000000000000000000000000000000000000000000095344118026279051459253088692659149181807495503617143902697063322064304017214,0.000000000000000000000000000000000000000000000000000000000000000000000000000000034226794014706530115784623034813193918417475105517896498394700850822182845011.000000000000000000000000000000000000000000000000000000000000000000000000000000095344118026279051459253088692659149181807495503617143902697063322064304017214,True
69,70,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000297274491920375905804,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000970436974005023690481,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000673162482084647784677,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000673162482084647784677,0.000000000000000000000000000000000000000000000000000000000000000000000000000000034226794014706530115784623034813193918417475105517896498394700850822182845011.000000000000000000000000000000000000000000000000000000000000000000000000000000095344118026279051459253088692659149181807495503617143902697063322064304017214,0.000000000000000000000000000000000000000000000000000000000000000000000000000000065540419151317157747671900246361345335112119010416684680126380557251106866307.000000000000000000000000000000000000000000000000000000000000000000000000000000097334935826427332895556897785451550753483104566423636378820548368192638516448,0.000000000000000000000000000000000000000000000000000000000000000000000000000000065540419151317157747671900246361345335112119010416684680126380557251106866307.000000000000000000000000000000000000000000000000000000000000000000000000000000097334935826427332895556897785451550753483104566423636378820548368192638516448,True
70,75,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000970436974005023690481,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022538323240989823823367,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021567886266984800132886,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021567886266984800132886,0.000000000000000000000000000000000000000000000000000000000000000000000000000000065540419151317157747671900246361345335112119010416684680126380557251106866307.000000000000000000000000000000000000000000000000000000000000000000000000000000097334935826427332895556897785451550753483104566423636378820548368192638516448,0.000000000000000000000000000000000000000000000000000000000000000000000000000000051753319958850014318422825155241699590216770953661144053284309216551720208213.000000000000000000000000000000000000000000000000000000000000000000000000000000070145941657091582687860683718295708577963266312639151937200559702470585069731,0.000000000000000000000000000000000000000000000000000000000000000000000000000000051753319958850014318422825155241699590216770953661144053284309216551720208213.000000000000000000000000000000000000000000000000000000000000000000000000000000070145941657091582687860683718295708577963266312639151937200559702470585069731,True
75,80,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022538323240989823823367,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001105520030589234487939456,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001082981707348244664116089,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001082981707348244664116089,0.000000000000000000000000000000000000000000000000000000000000000000000000000000051753319958850014318422825155241699590216770953661144053284309216551720208213.000000000000000000000000000000000000000000000000000000000000000000000000000000070145941657091582687860683718295708577963266312639151937200559702470585069731,0.000000000000000000000000000000000000000000000000000000000000000000000000000000057023615344285030823290121311389598839835447585845466159247235392572779796956.000000000000000000000000000000000000000000000000000000000000000000000000000000044489989660955945872089157326859328201485774189878427594519890127683524442731,0.000000000000000000000000000000000000000000000000000000000000000000000000000000057023615344285030823290121311389598839835447585845466159247235392572779796956.000000000000000000000000000000000000000000000000000000000000000000000000000000044489989660955945872089157326859328201485774189878427594519890127683524442731,True
80,85,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001105520030589234487939456,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021090315766411506144426920,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019984795735822271656487464,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019984795735822271656487464,0.000000000000000000000000000000000000000000000000000000000000000000000000000000057023615344285030823290121311389598839835447585845466159247235392572779796956.000000000000000000000000000000000000000000000000000000000000000000000000000000044489989660955945872089157326859328201485774189878427594519890127683524442731,0.000000000000000000000000000000000000000000000000000000000000000000000000000000018891731271987559180564311775835658084708517714299226869460971567942463645498.000000000000000000000000000000000000000000000000000000000000000000000000000000006337264155528691980680833078963835238690084422326491171223553853162872183891,0.000000000000000000000000000000000000000000000000000000000000000000000000000000018891731271987559180564311775835658084708517714299226869460971567942463645498.000000000000000000000000000000000000000000000000000000000000000000000000000000006337264155528691980680833078963835238690084422326491171223553853162872183891,True
85,90,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021090315766411506144426920,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000868012190417726402719548863,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000846921874651314896575121943,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000846921874651314896575121943,0.000000000000000000000000000000000000000000000000000000000000000000000000000000018891731271987559180564311775835658084708517714299226869460971567942463645498.000000000000000000000000000000000000000000000000000000000000000000000000000000006337264155528691980680833078963835238690084422326491171223553853162872183891,0.000000000000000000000000000000000000000000000000000000000000000000000000000000041713034111263466851930038147996148669581275117010008356397839417328763635925.000000000000000000000000000000000000000000000000000000000000000000000000000000076118228033078757471841976306410062476790021765122360602050786936435027981363,0.000000000000000000000000000000000000000000000000000000000000000000000000000000041713034111263466851930038147996148669581275117010008356397839417328763635925.000000000000000000000000000000000000000000000000000000000000000000000000000000076118228033078757471841976306410062476790021765122360602050786936435027981363,True
90,95,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000868012190417726402719548863,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000025525831956644113617013748212,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024657819766226387214294199349,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000024657819766226387214294199349,0.000000000000000000000000000000000000000000000000000000000000000000000000000000041713034111263466851930038147996148669581275117010008356397839417328763635925.000000000000000000000000000000000000000000000000000000000000000000000000000000076118228033078757471841976306410062476790021765122360602050786936435027981363,0.000000000000000000000000000000000000000000000000000000000000000000000000000000068063097042254603112450010924849517033325884137594647726407681444771642515525.000000000000000000000000000000000000000000000000000000000000000000000000000000071312491678750984954701657627055428744583136893281915291066395899455670806806,0.000000000000000000000000000000000000000000000000000000000000000000000000000000068063097042254603112450010924849517033325884137594647726407681444771642515525.000000000000000000000000000000000000000000000000000000000000000000000000000000071312491678750984954701657627055428744583136893281915291066395899455670806806,True
95,100,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000025525831956644113617013748212,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000868221233689326498340379183142,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000842695401732682384723365434930,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000842695401732682384723365434930,0.000000000000000000000000000000000000000000000000000000000000000000000000000000068063097042254603112450010924849517033325884137594647726407681444771642515525.000000000000000000000000000000000000000000000000000000000000000000000000000000071312491678750984954701657627055428744583136893281915291066395899455670806806,0.000000000000000000000000000000000000000000000000000000000000000000000000000000094996722023597679036042775432142722866975674982521337987691298170952592385559.000000000000000000000000000000000000000000000000000000000000000000000000000000061213091224897107699092739640017491283561943079669346364651076989993654499173,0.000000000000000000000000000000000000000000000000000000000000000000000000000000094996722023597679036042775432142722866975674982521337987691298170952592385559.000000000000000000000000000000000000000000000000000000000000000000000000000000061213091224897107699092739640017491283561943079669346364651076989993654499173,True
