puzzle,max_k,lead_a,d_dec,x_dec,y_dec,affine_0_x_y,jacobi_0_X_Y_Z
65,20,12,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030568377312064202855,000000000000000000000000000000000000000000000000000000000000000000000000000000021769406468394979245979020739332080729679479243955596515614749275274212371227,000000000000000000000000000000000000000000000000000000000000000000000000000000102907830890434238525231690377346540046672568029169549965500018466490455252476,0.000000000000000000000000000000000000000000000000000000000000000000000000000000021769406468394979245979020739332080729679479243955596515614749275274212371227.000000000000000000000000000000000000000000000000000000000000000000000000000000102907830890434238525231690377346540046672568029169549965500018466490455252476,0.000000000000000000000000000000000000000000000000000000000000000000000000000000021769406468394979245979020739332080729679479243955596515614749275274212371227.000000000000000000000000000000000000000000000000000000000000000000000000000000102907830890434238525231690377346540046672568029169549965500018466490455252476.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
66,20,19,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000046346217550346335726,000000000000000000000000000000000000000000000000000000000000000000000000000000035681022179418186873973468373280332442853574053612577039287936543695937260509,000000000000000000000000000000000000000000000000000000000000000000000000000000055769436514148338618765508764324988000805241152238207056637568135859289137720,0.000000000000000000000000000000000000000000000000000000000000000000000000000000035681022179418186873973468373280332442853574053612577039287936543695937260509.000000000000000000000000000000000000000000000000000000000000000000000000000000055769436514148338618765508764324988000805241152238207056637568135859289137720,0.000000000000000000000000000000000000000000000000000000000000000000000000000000035681022179418186873973468373280332442853574053612577039287936543695937260509.000000000000000000000000000000000000000000000000000000000000000000000000000000055769436514148338618765508764324988000805241152238207056637568135859289137720.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
67,21,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000132656943602386256302,000000000000000000000000000000000000000000000000000000000000000000000000000000008199270313230837952220440610769591593514599319024034412022685032436710272885,000000000000000000000000000000000000000000000000000000000000000000000000000000108680892268991160269437367347039106826837182347366220564480894908240312674034,0.000000000000000000000000000000000000000000000000000000000000000000000000000000008199270313230837952220440610769591593514599319024034412022685032436710272885.000000000000000000000000000000000000000000000000000000000000000000000000000000108680892268991160269437367347039106826837182347366220564480894908240312674034,0.000000000000000000000000000000000000000000000000000000000000000000000000000000008199270313230837952220440610769591593514599319024034412022685032436710272885.000000000000000000000000000000000000000000000000000000000000000000000000000000108680892268991160269437367347039106826837182347366220564480894908240312674034.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
68,21,4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000219898266213316039825,000000000000000000000000000000000000000000000000000000000000000000000000000000014417797224727152153976629935434818279260229220775673176904981236836807719451,000000000000000000000000000000000000000000000000000000000000000000000000000000007045521516762001123429259792443693948241323099305435512759425298741909160811,0.000000000000000000000000000000000000000000000000000000000000000000000000000000014417797224727152153976629935434818279260229220775673176904981236836807719451.000000000000000000000000000000000000000000000000000000000000000000000000000000007045521516762001123429259792443693948241323099305435512759425298741909160811,0.000000000000000000000000000000000000000000000000000000000000000000000000000000014417797224727152153976629935434818279260229220775673176904981236836807719451.000000000000000000000000000000000000000000000000000000000000000000000000000000007045521516762001123429259792443693948241323099305435512759425298741909160811.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
69,21,5,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000297274491920375905804,000000000000000000000000000000000000000000000000000000000000000000000000000000034226794014706530115784623034813193918417475105517896498394700850822182845011,000000000000000000000000000000000000000000000000000000000000000000000000000000095344118026279051459253088692659149181807495503617143902697063322064304017214,0.000000000000000000000000000000000000000000000000000000000000000000000000000000034226794014706530115784623034813193918417475105517896498394700850822182845011.000000000000000000000000000000000000000000000000000000000000000000000000000000095344118026279051459253088692659149181807495503617143902697063322064304017214,0.000000000000000000000000000000000000000000000000000000000000000000000000000000034226794014706530115784623034813193918417475105517896498394700850822182845011.000000000000000000000000000000000000000000000000000000000000000000000000000000095344118026279051459253088692659149181807495503617143902697063322064304017214.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
70,21,18,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000970436974005023690481,000000000000000000000000000000000000000000000000000000000000000000000000000000065540419151317157747671900246361345335112119010416684680126380557251106866307,000000000000000000000000000000000000000000000000000000000000000000000000000000097334935826427332895556897785451550753483104566423636378820548368192638516448,0.000000000000000000000000000000000000000000000000000000000000000000000000000000065540419151317157747671900246361345335112119010416684680126380557251106866307.000000000000000000000000000000000000000000000000000000000000000000000000000000097334935826427332895556897785451550753483104566423636378820548368192638516448,0.000000000000000000000000000000000000000000000000000000000000000000000000000000065540419151317157747671900246361345335112119010416684680126380557251106866307.000000000000000000000000000000000000000000000000000000000000000000000000000000097334935826427332895556897785451550753483104566423636378820548368192638516448.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
75,22,20,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000022538323240989823823367,000000000000000000000000000000000000000000000000000000000000000000000000000000051753319958850014318422825155241699590216770953661144053284309216551720208213,000000000000000000000000000000000000000000000000000000000000000000000000000000070145941657091582687860683718295708577963266312639151937200559702470585069731,0.000000000000000000000000000000000000000000000000000000000000000000000000000000051753319958850014318422825155241699590216770953661144053284309216551720208213.000000000000000000000000000000000000000000000000000000000000000000000000000000070145941657091582687860683718295708577963266312639151937200559702470585069731,0.000000000000000000000000000000000000000000000000000000000000000000000000000000051753319958850014318422825155241699590216770953661144053284309216551720208213.000000000000000000000000000000000000000000000000000000000000000000000000000000070145941657091582687860683718295708577963266312639151937200559702470585069731.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
80,24,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001105520030589234487939456,000000000000000000000000000000000000000000000000000000000000000000000000000000057023615344285030823290121311389598839835447585845466159247235392572779796956,000000000000000000000000000000000000000000000000000000000000000000000000000000044489989660955945872089157326859328201485774189878427594519890127683524442731,0.000000000000000000000000000000000000000000000000000000000000000000000000000000057023615344285030823290121311389598839835447585845466159247235392572779796956.000000000000000000000000000000000000000000000000000000000000000000000000000000044489989660955945872089157326859328201485774189878427594519890127683524442731,0.000000000000000000000000000000000000000000000000000000000000000000000000000000057023615344285030823290121311389598839835447585845466159247235392572779796956.000000000000000000000000000000000000000000000000000000000000000000000000000000044489989660955945872089157326859328201485774189878427594519890127683524442731.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
85,25,1,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000021090315766411506144426920,000000000000000000000000000000000000000000000000000000000000000000000000000000018891731271987559180564311775835658084708517714299226869460971567942463645498,000000000000000000000000000000000000000000000000000000000000000000000000000000006337264155528691980680833078963835238690084422326491171223553853162872183891,0.000000000000000000000000000000000000000000000000000000000000000000000000000000018891731271987559180564311775835658084708517714299226869460971567942463645498.000000000000000000000000000000000000000000000000000000000000000000000000000000006337264155528691980680833078963835238690084422326491171223553853162872183891,0.000000000000000000000000000000000000000000000000000000000000000000000000000000018891731271987559180564311775835658084708517714299226869460971567942463645498.000000000000000000000000000000000000000000000000000000000000000000000000000000006337264155528691980680833078963835238690084422326491171223553853162872183891.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
90,26,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000868012190417726402719548863,000000000000000000000000000000000000000000000000000000000000000000000000000000041713034111263466851930038147996148669581275117010008356397839417328763635925,000000000000000000000000000000000000000000000000000000000000000000000000000000076118228033078757471841976306410062476790021765122360602050786936435027981363,0.000000000000000000000000000000000000000000000000000000000000000000000000000000041713034111263466851930038147996148669581275117010008356397839417328763635925.000000000000000000000000000000000000000000000000000000000000000000000000000000076118228033078757471841976306410062476790021765122360602050786936435027981363,0.000000000000000000000000000000000000000000000000000000000000000000000000000000041713034111263466851930038147996148669581275117010008356397839417328763635925.000000000000000000000000000000000000000000000000000000000000000000000000000000076118228033078757471841976306410062476790021765122360602050786936435027981363.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
95,27,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000025525831956644113617013748212,000000000000000000000000000000000000000000000000000000000000000000000000000000068063097042254603112450010924849517033325884137594647726407681444771642515525,000000000000000000000000000000000000000000000000000000000000000000000000000000071312491678750984954701657627055428744583136893281915291066395899455670806806,0.000000000000000000000000000000000000000000000000000000000000000000000000000000068063097042254603112450010924849517033325884137594647726407681444771642515525.000000000000000000000000000000000000000000000000000000000000000000000000000000071312491678750984954701657627055428744583136893281915291066395899455670806806,0.000000000000000000000000000000000000000000000000000000000000000000000000000000068063097042254603112450010924849517033325884137594647726407681444771642515525.000000000000000000000000000000000000000000000000000000000000000000000000000000071312491678750984954701657627055428744583136893281915291066395899455670806806.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
100,28,2,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000868221233689326498340379183142,000000000000000000000000000000000000000000000000000000000000000000000000000000094996722023597679036042775432142722866975674982521337987691298170952592385559,000000000000000000000000000000000000000000000000000000000000000000000000000000061213091224897107699092739640017491283561943079669346364651076989993654499173,0.000000000000000000000000000000000000000000000000000000000000000000000000000000094996722023597679036042775432142722866975674982521337987691298170952592385559.000000000000000000000000000000000000000000000000000000000000000000000000000000061213091224897107699092739640017491283561943079669346364651076989993654499173,0.000000000000000000000000000000000000000000000000000000000000000000000000000000094996722023597679036042775432142722866975674982521337987691298170952592385559.000000000000000000000000000000000000000000000000000000000000000000000000000000061213091224897107699092739640017491283561943079669346364651076989993654499173.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
105,29,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000029083230144918045706788529192435,000000000000000000000000000000000000000000000000000000000000000000000000000000085472652198433121950841823744746716770135193065697857406943610820940839638907,000000000000000000000000000000000000000000000000000000000000000000000000000000002273491733972386163740165494026048845412452493532013887904800652580241064735,0.000000000000000000000000000000000000000000000000000000000000000000000000000000085472652198433121950841823744746716770135193065697857406943610820940839638907.000000000000000000000000000000000000000000000000000000000000000000000000000000002273491733972386163740165494026048845412452493532013887904800652580241064735,0.000000000000000000000000000000000000000000000000000000000000000000000000000000085472652198433121950841823744746716770135193065697857406943610820940839638907.000000000000000000000000000000000000000000000000000000000000000000000000000000002273491733972386163740165494026048845412452493532013887904800652580241064735.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
110,30,4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001090246098153987172547740458951748,000000000000000000000000000000000000000000000000000000000000000000000000000000004338352488447277069681865763767263000525504203189618609162334752999592040061,000000000000000000000000000000000000000000000000000000000000000000000000000000001327516183598579617836816008839248279861745347961002707181648029680335235001,0.000000000000000000000000000000000000000000000000000000000000000000000000000000004338352488447277069681865763767263000525504203189618609162334752999592040061.000000000000000000000000000000000000000000000000000000000000000000000000000000001327516183598579617836816008839248279861745347961002707181648029680335235001,0.000000000000000000000000000000000000000000000000000000000000000000000000000000004338352488447277069681865763767263000525504203189618609162334752999592040061.000000000000000000000000000000000000000000000000000000000000000000000000000000001327516183598579617836816008839248279861745347961002707181648029680335235001.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
115,31,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000031464123230573852164273674364426950,000000000000000000000000000000000000000000000000000000000000000000000000000000032939465712855543687621080654651021859979376333843015892822995152318610898773,000000000000000000000000000000000000000000000000000000000000000000000000000000046560755643746305144975040470607841658328142774650200719470619734417618747604,0.000000000000000000000000000000000000000000000000000000000000000000000000000000032939465712855543687621080654651021859979376333843015892822995152318610898773.000000000000000000000000000000000000000000000000000000000000000000000000000000046560755643746305144975040470607841658328142774650200719470619734417618747604,0.000000000000000000000000000000000000000000000000000000000000000000000000000000032939465712855543687621080654651021859979376333843015892822995152318610898773.000000000000000000000000000000000000000000000000000000000000000000000000000000046560755643746305144975040470607841658328142774650200719470619734417618747604.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
120,32,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000919343500840980333540511050618764323,000000000000000000000000000000000000000000000000000000000000000000000000000000093499419120076195219278579763555015417347613618260420189054155605804414805552,000000000000000000000000000000000000000000000000000000000000000000000000000000019494200143356336257404688340550956357466777176798681646526975620299854296492,0.000000000000000000000000000000000000000000000000000000000000000000000000000000093499419120076195219278579763555015417347613618260420189054155605804414805552.000000000000000000000000000000000000000000000000000000000000000000000000000000019494200143356336257404688340550956357466777176798681646526975620299854296492,0.000000000000000000000000000000000000000000000000000000000000000000000000000000093499419120076195219278579763555015417347613618260420189054155605804414805552.000000000000000000000000000000000000000000000000000000000000000000000000000000019494200143356336257404688340550956357466777176798681646526975620299854296492.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
125,33,4,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000037650549717742544505774009877315221420,000000000000000000000000000000000000000000000000000000000000000000000000000000023266937399999944120243183575366069139753606644194491618844068395400303144974,000000000000000000000000000000000000000000000000000000000000000000000000000000019046944643243374794723275227850600835724258179117516648603681200280499231816,0.000000000000000000000000000000000000000000000000000000000000000000000000000000023266937399999944120243183575366069139753606644194491618844068395400303144974.000000000000000000000000000000000000000000000000000000000000000000000000000000019046944643243374794723275227850600835724258179117516648603681200280499231816,0.000000000000000000000000000000000000000000000000000000000000000000000000000000023266937399999944120243183575366069139753606644194491618844068395400303144974.000000000000000000000000000000000000000000000000000000000000000000000000000000019046944643243374794723275227850600835724258179117516648603681200280499231816.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
130,34,3,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001103873984953507439627945351144005829577,000000000000000000000000000000000000000000000000000000000000000000000000000000044886295857190546091508615621464465421050773292389158775895365558788257183826,000000000000000000000000000000000000000000000000000000000000000000000000000000079820197542983972470655013754473404410649480536210503962616926227235987362275,0.000000000000000000000000000000000000000000000000000000000000000000000000000000044886295857190546091508615621464465421050773292389158775895365558788257183826.000000000000000000000000000000000000000000000000000000000000000000000000000000079820197542983972470655013754473404410649480536210503962616926227235987362275,0.000000000000000000000000000000000000000000000000000000000000000000000000000000044886295857190546091508615621464465421050773292389158775895365558788257183826.000000000000000000000000000000000000000000000000000000000000000000000000000000079820197542983972470655013754473404410649480536210503962616926227235987362275.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
