puzzle,max_k,lead_a,d,d_over_N,d_over_p,x,y,x_over_p,y_over_p,x_over_N,y_over_N,x_dot_pfrac,y_dot_pfrac,x_dot_Nfrac,y_dot_Nfrac
45,15,15,19996463086597,0.000000000000000000000000000000000000000000000000000000000000000172692825721575811822600666954051178672608085301434923284835518605499794138358444892567787093,0.000000000000000000000000000000000000000000000000000000000000000172692825721575811822600666954051178671963171655368900132303899663101904694600862683797246988,50112622098186670293522308964212376217170487478698098151184560544369839286042,77166245647879752064031295604889546052840057843077005375531342667030458077622,0.432781051177690712330261043021042786354186035143707077601552853857994566984557203909125702918594201244418109591556503822813778358327781941944591553922843971,0.666420704178912654359268629619008782054661334844335637266268439418964183115423303287484554325879723913780705436782179909835071482568350734450752093745159093,0.432781051177690712330261043021042786355802236653509692527790872766978679461608953051861356834348462460544637291141762697108085064095393419528895286084252914,0.666420704178912654359268629619008782057150053205101987694972212755307708358890547790509981247475172658389018021596882475409976509538680925793166898711592484,x.432781051177690712330261043021042786354186035143707077601552853857994566984557203909125702918594201244418109591556503822813778358327781941944591553922843971,y.666420704178912654359268629619008782054661334844335637266268439418964183115423303287484554325879723913780705436782179909835071482568350734450752093745159093,x.432781051177690712330261043021042786355802236653509692527790872766978679461608953051861356834348462460544637291141762697108085064095393419528895286084252914,y.666420704178912654359268629619008782057150053205101987694972212755307708358890547790509981247475172658389018021596882475409976509538680925793166898711592484
46,16,2,51408670348612,0.000000000000000000000000000000000000000000000000000000000000000443973942323899114908345115163777913015874890603045670085620180130737529694417458247948568619,0.000000000000000000000000000000000000000000000000000000000000000443973942323899114908345115163777913014216889741075644796687440071651762428417468619684162603,114584500658952982261284867257664334263474393257290087756987875227521301436489,72377802498278766546639322951454786203104057764824801286631323494589545738903,0.989571061492048414868198167087928604468618933645413508094818728194972244272692188213134946266215791603441190144814810369932762494972096344283443554176694959,0.625066902022471219717509761872412927306197464262841562579564531896830332680612613567199600476123478166535131856543627024592189158380995832989565604472635833,0.989571061492048414868198167087928604472314442585299527568870432436742594360285465455279139200156542440945255496064138720355552834175863268362011681707181933,0.625066902022471219717509761872412927308531748696107058066677984494588750954071037091403141949253446806442956455394429996865350438703512790319550180704162516,x.989571061492048414868198167087928604468618933645413508094818728194972244272692188213134946266215791603441190144814810369932762494972096344283443554176694959,y.625066902022471219717509761872412927306197464262841562579564531896830332680612613567199600476123478166535131856543627024592189158380995832989565604472635833,x.989571061492048414868198167087928604472314442585299527568870432436742594360285465455279139200156542440945255496064138720355552834175863268362011681707181933,y.625066902022471219717509761872412927308531748696107058066677984494588750954071037091403141949253446806442956455394429996865350438703512790319550180704162516
47,16,5,119666659114170,0.000000000000000000000000000000000000000000000000000000000000001033461438535000981715624054500109992720265699682215873822362936989757003246677331453720980253,0.000000000000000000000000000000000000000000000000000000000000001033461438535000981715624054500109992716406284089185973337369475809976106232344398280237990848,26267254531086005924446289926216963278177394500745127274874595717966452048278,87001101956910744728114859046409945791202748241449154110581074788749206277690,0.226848437610027035379363126238227631087437082700973802385974179699262858272084161830472735965453456414777339376240578339511974126341594616390534933277789398,0.751356180978838325045097809375920348987250454560386595973326443128707005603779810813085546874607732908834550914326747612063483505010647648749630281488047215,0.226848437610027035379363126238227631088284238061320571243689459884746374249038119357473337157629999414671791032658329997132491052272006001422548820044779788,0.751356180978838325045097809375920348990056360666471961131926217257488332926406538753356505555990012068214613112331295431781941684405756917542239686915411181,x.226848437610027035379363126238227631087437082700973802385974179699262858272084161830472735965453456414777339376240578339511974126341594616390534933277789398,y.751356180978838325045097809375920348987250454560386595973326443128707005603779810813085546874607732908834550914326747612063483505010647648749630281488047215,x.226848437610027035379363126238227631088284238061320571243689459884746374249038119357473337157629999414671791032658329997132491052272006001422548820044779788,y.751356180978838325045097809375920348990056360666471961131926217257488332926406538753356505555990012068214613112331295431781941684405756917542239686915411181
48,16,9,191206974700443,0.000000000000000000000000000000000000000000000000000000000000001651295662422704852266705997324820025825655199370739281847025245443232404338854894606912660883,0.000000000000000000000000000000000000000000000000000000000000001651295662422704852266705997324820025819488509457963222709753500974454888253399741918310505015,65922650075410856534993974163056939852640429077251888193523115047858400845499,41869000666969933530739468879784369787478474775480842047778880811132270629206,0.569319117649757657903978955505224977581488017586082378834050003793405478036970936595478608490556516622008363150543671772735443236317716571761937510076756785,0.361587746993314069171905218696855470544679737523257619640893729082592604548641002142497539743929793506137980746936693953423684144080396114963399688040085615,0.569319117649757657903978955505224977583614114408023049298000905623163409259390186238570959539736341244606950350175943044066371813743673012438196352229233156,0.361587746993314069171905218696855470546030070817717821063650273202404083953367634335134270244301758779349620835954714886744767357159380178190458140097321945,x.569319117649757657903978955505224977581488017586082378834050003793405478036970936595478608490556516622008363150543671772735443236317716571761937510076756785,y.361587746993314069171905218696855470544679737523257619640893729082592604548641002142497539743929793506137980746936693953423684144080396114963399688040085615,x.569319117649757657903978955505224977583614114408023049298000905623163409259390186238570959539736341244606950350175943044066371813743673012438196352229233156,y.361587746993314069171905218696855470546030070817717821063650273202404083953367634335134270244301758779349620835954714886744767357159380178190458140097321945
49,17,1,409118905032525,0.000000000000000000000000000000000000000000000000000000000000003533219822936562738975646287494300800448225344781287497466673378122269096939812270230158250930,0.000000000000000000000000000000000000000000000000000000000000003533219822936562738975646287494300800435030693128320294366071014808101453705822485550533322187,40307801063138778132376559836123589321449883390877564180282544683931835372676,84487168443727713049778009853790282775917750548090902002744386003675529530292,0.348104964066481540479507810725608592923565931717240304142607268025225466741629583062999352619834417542329090786279198279461219218938034607589048386585601635,0.729645427422688921396177470801843015692774890924353725475257706105542100592363896330194303110868805553787732592306643580661293088826998168312852608483348439,0.348104964066481540479507810725608592924865914160933379964599012995780060420826477844021159527621981476941636105475780480195890146522988040245234885484225482,0.729645427422688921396177470801843015695499719190776479393082459022250742154190841875171066394574668401598017534892720949812305917885638001279042820211032857,x.348104964066481540479507810725608592923565931717240304142607268025225466741629583062999352619834417542329090786279198279461219218938034607589048386585601635,y.729645427422688921396177470801843015692774890924353725475257706105542100592363896330194303110868805553787732592306643580661293088826998168312852608483348439,x.348104964066481540479507810725608592924865914160933379964599012995780060420826477844021159527621981476941636105475780480195890146522988040245234885484225482,y.729645427422688921396177470801843015695499719190776479393082459022250742154190841875171066394574668401598017534892720949812305917885638001279042820211032857
50,17,1,611140496167764,0.000000000000000000000000000000000000000000000000000000000000005277912335748860396680013677195676076820576097839365042004216548021536511328345559400148409214,0.000000000000000000000000000000000000000000000000000000000000005277912335748860396680013677195676076800865969906474451178241420793066755869101741832650918193,110560903758971929709743161563183868968201998016819862389797221564458485814982,106403041512432555215316396882584033752066537554388330180776939978150437217531,0.954822600466056561624846774425390730806546619552651907090277409981316325379540680249725278946174796391349825706920640315573054290619928044548632056914373995,0.918914601276078870304426859944331173443426816801697713238429140217706176716580720828074319238795601663415309210705679237331984474708139847509718358769597336,0.954822600466056561624846774425390730810112361916527492504015047471491510860232963950049024019632540360394039992975054069927428511151634704919297524076692791,0.918914601276078870304426859944331173446858462346068589655259693919545456655295239541392453426565292802805900211991917633665529747176284327635125395458803968,x.954822600466056561624846774425390730806546619552651907090277409981316325379540680249725278946174796391349825706920640315573054290619928044548632056914373995,y.918914601276078870304426859944331173443426816801697713238429140217706176716580720828074319238795601663415309210705679237331984474708139847509718358769597336,x.954822600466056561624846774425390730810112361916527492504015047471491510860232963950049024019632540360394039992975054069927428511151634704919297524076692791,y.918914601276078870304426859944331173446858462346068589655259693919545456655295239541392453426565292802805900211991917633665529747176284327635125395458803968
51,17,5,2058769515153876,0.000000000000000000000000000000000000000000000000000000000000017779880548958939613184729073372875446139368533385586774192764483640172353579727550193071021649,0.000000000000000000000000000000000000000000000000000000000000017779880548958939613184729073372875446072970363435351947526775491185375602578272908384775839561,63515334313235940978997497997309110945131154723579807607384497547958713837455,58372837009371438499600708449369979083506963697147052846447906363256905894908,0.548529132962279435734156576338628813519803333720516139581733190238781441516374287511681558348620588522088915632164192850369783678371364048599388212404492807,0.504117659451986858209456679676491934902289950852560835190036858752518086448022794349082431085679142252052170079168240366487794634679617179670083306461904119,0.548529132962279435734156576338628813521851791273017354455909584753953416194885732269604246467718330816234212692455357999560876057281395491743107823212748641,0.504117659451986858209456679676491934904172555740430429618700170632999829348317599945829036714524734182464648864230107501532404915588600700159496165348191100,x.548529132962279435734156576338628813519803333720516139581733190238781441516374287511681558348620588522088915632164192850369783678371364048599388212404492807,y.504117659451986858209456679676491934902289950852560835190036858752518086448022794349082431085679142252052170079168240366487794634679617179670083306461904119,x.548529132962279435734156576338628813521851791273017354455909584753953416194885732269604246467718330816234212692455357999560876057281395491743107823212748641,y.504117659451986858209456679676491934904172555740430429618700170632999829348317599945829036714524734182464648864230107501532404915588600700159496165348191100
52,17,11,4216495639600700,0.000000000000000000000000000000000000000000000000000000000000036414367055412403447113774206086992683188273749823710793248615712020849117778499167326797906433,0.000000000000000000000000000000000000000000000000000000000000036414367055412403447113774206086992683052285922137372572246199821580123291585594003323386850671,52813238566474594496574906867435567565233423293475819066208762163447782904999,98011757932358350962613998289386682535741825041444942664745561971592823444973,0.456104030200489096729546989640536046816251621601420198120519178872192125718279950404006333510211473981720526506436244771172435934745453545128835750653718267,0.846446061884961691336360377705416013998173261127627773862455207301455414662639974710093842567242436215534056727735410727804937070608696928737839551734909681,0.456104030200489096729546989640536046817954921734896761398237385328370259087706833358686153323068662450158240339223597796129933895045112021070217942238688427,0.846446061884961691336360377705416014001334276147722241221336956622272580722386239270978645788589049569607614147103684801727710396573360799577712677583565331,x.456104030200489096729546989640536046816251621601420198120519178872192125718279950404006333510211473981720526506436244771172435934745453545128835750653718267,y.846446061884961691336360377705416013998173261127627773862455207301455414662639974710093842567242436215534056727735410727804937070608696928737839551734909681,x.456104030200489096729546989640536046817954921734896761398237385328370259087706833358686153323068662450158240339223597796129933895045112021070217942238688427,y.846446061884961691336360377705416014001334276147722241221336956622272580722386239270978645788589049569607614147103684801727710396573360799577712677583565331
53,18,1,6763683971478124,0.000000000000000000000000000000000000000000000000000000000000058412314831075684958108744018657277849820282672445179105534051738159776015674803584792224788304,0.000000000000000000000000000000000000000000000000000000000000058412314831075684958108744018657277849602144491108101412976235217171620878329911997768677113886,7086754227407391658152234626386289704606906620229921345536119461826835276617,45806165569194256586261502717728099690457099843611552664107027616191159246392,0.061202404016418340860916274607729216666159235951572793427189302002200213817596404868944320862367965989382381460266545525730465189122745442727375708390601193,0.395589766718125261564440995288735429510602631353796466927888550424147000693704855908895775221545383647030186164879395468380852491954615009147059778368582936,0.061202404016418340860916274607729216666387793596381212674605431307679562195905562584148890793630841730359651894162601926139986759566014111767221997373679760,0.395589766718125261564440995288735429512079943672560149579444993024301592547573074149646267965219701930847422147320832729262299218766933627345901309105117567,x.061202404016418340860916274607729216666159235951572793427189302002200213817596404868944320862367965989382381460266545525730465189122745442727375708390601193,y.395589766718125261564440995288735429510602631353796466927888550424147000693704855908895775221545383647030186164879395468380852491954615009147059778368582936,x.061202404016418340860916274607729216666387793596381212674605431307679562195905562584148890793630841730359651894162601926139986759566014111767221997373679760,y.395589766718125261564440995288735429512079943672560149579444993024301592547573074149646267965219701930847422147320832729262299218766933627345901309105117567
54,18,1,9974455244496707,0.000000000000000000000000000000000000000000000000000000000000086141076736719331483447809170480392702451028841574647022083129026408073293981636423327046354846,0.000000000000000000000000000000000000000000000000000000000000086141076736719331483447809170480392702129338837127693157727314160238271905549322340336478908732,33903532250825920011423262729318037347523984276123141340942803818961706296726,168743002427289881765681417490337978467882455308235152692948563217619698893,0.292796619131213189584302175174818794406904150351975754266849115339357099074718968022718052176784608635813426329892025588064470883563804546632552231281681447,0.001457293011454786420425259391849853777516496842650552005970824381990889762644636646249032311658799998624483838545232551669605169995169830730172088648221390,0.292796619131213189584302175174818794407997586251299993763266412345628787689355865545232252240925411427093733988744036622414979728571392390076788449284217811,0.001457293011454786420425259391849853777521939038326468966564752107577914864717051863354931422259276840547144816069832431111176798115793283354251164479476429,x.292796619131213189584302175174818794406904150351975754266849115339357099074718968022718052176784608635813426329892025588064470883563804546632552231281681447,y.001457293011454786420425259391849853777516496842650552005970824381990889762644636646249032311658799998624483838545232551669605169995169830730172088648221390,x.292796619131213189584302175174818794407997586251299993763266412345628787689355865545232252240925411427093733988744036622414979728571392390076788449284217811,y.001457293011454786420425259391849853777521939038326468966564752107577914864717051863354931422259276840547144816069832431111176798115793283354251164479476429
55,18,4,30045390491869460,0.000000000000000000000000000000000000000000000000000000000000259477056591416639266421569283751679396608596499591998219311530934758289041245276898795731864941,0.000000000000000000000000000000000000000000000000000000000000259477056591416639266421569283751679395639591018688900977854259265239444089901772174544190415076,60445698216621826856287952149610390835450647855250491824511024996101472713059,6650413705544923593404974197957088657590778889830546541291909209606529242729,0.522019238229117770747213841688329590451326716548361710615010608938179062447485680593083937573795236108509235034541695485698497883538372584616064616424742839,0.057434093722196194108326094001946728797915249990997339067970282703920960854760327939957321069551382277800100730917204127022063276524772612330634510471917277,0.522019238229117770747213841688329590453276174082780218608462554639636040213655894699623540383362845174839861720280627533294961338500083860661203881056000476,0.057434093722196194108326094001946728798129735049285730658887833397748128109171399154826661375968089644350480228103127254524346630484033413633004867508935679,x.522019238229117770747213841688329590451326716548361710615010608938179062447485680593083937573795236108509235034541695485698497883538372584616064616424742839,y.057434093722196194108326094001946728797915249990997339067970282703920960854760327939957321069551382277800100730917204127022063276524772612330634510471917277,x.522019238229117770747213841688329590453276174082780218608462554639636040213655894699623540383362845174839861720280627533294961338500083860661203881056000476,y.057434093722196194108326094001946728798129735049285730658887833397748128109171399154826661375968089644350480228103127254524346630484033413633004867508935679
56,18,6,44218742292676575,0.000000000000000000000000000000000000000000000000000000000000381880511733838266350986597827625781082806043010824910347662258103830444256378505967574814965802,0.000000000000000000000000000000000000000000000000000000000000381880511733838266350986597827625781081379927292613816365728449136897647650563906646319246727154,28576446286465130798687394270835338936156158272521290958787272130765482596762,101338706018188911277721114497155019368847601339832684197459624859833147765647,0.246791006835515576471984514785524653181187692579042079097512679025328205605432146520982925904174581358225389778332539560029586330328223794109917438560936777,0.875178146328243229753365453828576805321232671965344617302106039084660421035155218035577392349430723289148739721700261741386873072513634892254658976382828744,0.246791006835515576471984514785524653182109322573626806525867265602261541435937435443933689138961735567791842038223591369047768712702568600240415612881555573,0.875178146328243229753365453828576805324500985671762441889335143737449698971213729731232502958192964630463055421560981136483985032001647987003916129484765874,x.246791006835515576471984514785524653181187692579042079097512679025328205605432146520982925904174581358225389778332539560029586330328223794109917438560936777,y.875178146328243229753365453828576805321232671965344617302106039084660421035155218035577392349430723289148739721700261741386873072513634892254658976382828744,x.246791006835515576471984514785524653182109322573626806525867265602261541435937435443933689138961735567791842038223591369047768712702568600240415612881555573,y.875178146328243229753365453828576805324500985671762441889335143737449698971213729731232502958192964630463055421560981136483985032001647987003916129484765874
57,19,1,138245758910846492,0.000000000000000000000000000000000000000000000000000000000001193913675981020091554045871848965980325674239167867255104710164238514823134414888700531106189001,0.000000000000000000000000000000000000000000000000000000000001193913675981020091554045871848965980321215621859083419791400191274473289001642094959283116554787,74691033661854708945097969794875545130743253282866857528646094060486887766762,50520096726607883683128959576900318161316692878968149241991939304173485276380,0.645044356258010307064245572917392822825712507192992807032047273491276582281410848450267577840079241561731888668820385996307062034290722919013360323339205601,0.436300070750660788489162647283570690045711245184558585952405241276574303807750457399674109878918507935500922148557968923218779533111354264151581122061204077,0.645044356258010307064245572917392822828121396537008506131059202202018746645255073562512737890171636067894153391034882538791819139899144643581216409511304437,0.436300070750660788489162647283570690047340588315814779829949032892907331386464976164791510660814598285492820636231069138331687952373010741532566428512379401,x.645044356258010307064245572917392822825712507192992807032047273491276582281410848450267577840079241561731888668820385996307062034290722919013360323339205601,y.436300070750660788489162647283570690045711245184558585952405241276574303807750457399674109878918507935500922148557968923218779533111354264151581122061204077,x.645044356258010307064245572917392822828121396537008506131059202202018746645255073562512737890171636067894153391034882538791819139899144643581216409511304437,y.436300070750660788489162647283570690047340588315814779829949032892907331386464976164791510660814598285492820636231069138331687952373010741532566428512379401
58,19,1,199976667976342049,0.000000000000000000000000000000000000000000000000000000000001727032211729847408991105686878813386867965743207020911076797154451817522938047008872313863207601,0.000000000000000000000000000000000000000000000000000000000001727032211729847408991105686878813386861516218532869897749649633355313535712349253369331644916895,7842290535780881515467118634686610054213231290193967407475681065888263921474,37223995011863042135269033180096052877832679834151924259363842760832235837987,0.067727342925025613505880634083353644927934831571840183331843277373848576966685201927866435006380877893994398493448751137558700316591490945116029037775717709,0.321472695216444062719529316194727934916627537976157124442005567070591981743229463543286222444970875916217524962664343218654953939980868969465886266959826601,0.067727342925025613505880634083353644928187756309631911347989171107016428204430279049369365346619494520349615673249277370879098496071769091085402485866718539,0.321472695216444062719529316194727934917828063401092631938179880049190944649870420259959761384740837644008930431624081219539211011124613201622660012557483519,x.067727342925025613505880634083353644927934831571840183331843277373848576966685201927866435006380877893994398493448751137558700316591490945116029037775717709,y.321472695216444062719529316194727934916627537976157124442005567070591981743229463543286222444970875916217524962664343218654953939980868969465886266959826601,x.067727342925025613505880634083353644928187756309631911347989171107016428204430279049369365346619494520349615673249277370879098496071769091085402485866718539,y.321472695216444062719529316194727934917828063401092631938179880049190944649870420259959761384740837644008930431624081219539211011124613201622660012557483519
59,19,4,525070384258266191,0.000000000000000000000000000000000000000000000000000000000004534596341742595553276563779618676117167461657954881318404407523086163817831601175668827145118999,0.000000000000000000000000000000000000000000000000000000000004534596341742595553276563779618676117150527410408861243644018085697999580344349908648974825477784,29468339291227022490967140728449087203757816877061952957844349023051015394437,5867199329528628582491486657327247741547599271992614464633076311922995064508,0.254493545157748925267886042005117524855266660785426061050630198366568251051118273730026853246610528856473140429016531172096129915093735792798126202487798616,0.050670122356146350579131586768833968375450724963052758018241822511689816285094881114218263719129998447331010159953585877895595298410036954977865860121253084,0.254493545157748925267886042005117524856217055565418629275582549767805222075836664367896805661438448250694219103092511046331087420967741391156218758506157598,0.050670122356146350579131586768833968375639950272319506353195292627771175865512078410681128069625509120642356307705231637908237407283827341563161571295825077,x.254493545157748925267886042005117524855266660785426061050630198366568251051118273730026853246610528856473140429016531172096129915093735792798126202487798616,y.050670122356146350579131586768833968375450724963052758018241822511689816285094881114218263719129998447331010159953585877895595298410036954977865860121253084,x.254493545157748925267886042005117524856217055565418629275582549767805222075836664367896805661438448250694219103092511046331087420967741391156218758506157598,y.050670122356146350579131586768833968375639950272319506353195292627771175865512078410681128069625509120642356307705231637908237407283827341563161571295825077
60,19,9,1135041350219496382,0.000000000000000000000000000000000000000000000000000000000009802408417497555557284167353499629895839180810773552743773793379500483174345483235764215918305516,0.000000000000000000000000000000000000000000000000000000000009802408417497555557284167353499629895802574154264562594541619402326858655421911809402705752614767,32976901974812130467888454680865813064186458215596336709018932995219129999629,94344309747317421167124060163550008068954848013402657284162153757492808086031,0.284794083879304414332749288177281536507428803841928490121034450998674432072752198159801114679775226818781117082919659508088370236123276526227250692976144923,0.814773361191873021278627546581968811277672599754329884364312674847336861153038878992098461716817493944692822268329122807847773998690640983454615149505960488,0.284794083879304414332749288177281536508492354630707366795288918555354957930163405146476959399675546435387698882222520608378725984667521044143314325283989456,0.814773361191873021278627546581968811280715334488029190377730457381655630768235320141688262451598368501270470684099640258531552413721893056678921391320790488,x.284794083879304414332749288177281536507428803841928490121034450998674432072752198159801114679775226818781117082919659508088370236123276526227250692976144923,y.814773361191873021278627546581968811277672599754329884364312674847336861153038878992098461716817493944692822268329122807847773998690640983454615149505960488,x.284794083879304414332749288177281536508492354630707366795288918555354957930163405146476959399675546435387698882222520608378725984667521044143314325283989456,y.814773361191873021278627546581968811280715334488029190377730457381655630768235320141688262451598368501270470684099640258531552413721893056678921391320790488
61,19,11,1425787542618654982,0.000000000000000000000000000000000000000000000000000000000012313341541808608482285637070827693195891767646878398661389726678433878862954094802003273323563395,0.000000000000000000000000000000000000000000000000000000000012313341541808608482285637070827693195845784022742286776945622882867777899868510585852178008050749,33308989973171342073697220435010985741081235541259067848310503357357122078015,95725642944317286839874181564660753559887752233498128945789602194633150111324,0.287662051808258493124026345498776931828251448521631499391172212282543873125295973822608490978473821966746283619899655969943854326007656032828532726295928959,0.826702787511911341037180449490996160908371641925938721900214511321589963105556521159461039286057651868811963741381697776372246809402631486977403531750225546,0.287662051808258493124026345498776931829325709608572062308691285811900759389625105378989221573638825585687133595253576760720871274732675776791805053925571161,0.826702787511911341037180449490996160911458926569522157474877703456253751324644545931954496328753778230875108370466203766727932378814615372079490901346062689,x.287662051808258493124026345498776931828251448521631499391172212282543873125295973822608490978473821966746283619899655969943854326007656032828532726295928959,y.826702787511911341037180449490996160908371641925938721900214511321589963105556521159461039286057651868811963741381697776372246809402631486977403531750225546,x.287662051808258493124026345498776931829325709608572062308691285811900759389625105378989221573638825585687133595253576760720871274732675776791805053925571161,y.826702787511911341037180449490996160911458926569522157474877703456253751324644545931954496328753778230875108370466203766727932378814615372079490901346062689
62,20,1,3908372542507822062,0.000000000000000000000000000000000000000000000000000000000033753364053200578514027115236528147660129242556654358847531018214858244062163273771001189509462853,0.000000000000000000000000000000000000000000000000000000000033753364053200578514027115236528147660003192125852798420073156542513245311524188936760720604544168,15877604754714859824235961000680666017735583517798512888980505728230641434280,27676014891220873617147919511945292449354083613136393884603452417089983439557,0.137121670912886514838391037386104800115234727156321195392206400610672521191098134466774718963557067989352693825652760748796107565760010307698056168474620432,0.239014729533887305150630422381791592783611523682306067564879618537562439505580893933025187684440402097525820214140658032745066834443531003304567104561482489,0.137121670912886514838391037386104800115746801913182658729010118825759790838925489908501167851205993066688034948930893636331266977857152758263188464500033325,0.239014729533887305150630422381791592784504113516557215023893939688065747886842793694401358607951774123677217136027678560212244656781335015027305301052541462,x.137121670912886514838391037386104800115234727156321195392206400610672521191098134466774718963557067989352693825652760748796107565760010307698056168474620432,y.239014729533887305150630422381791592783611523682306067564879618537562439505580893933025187684440402097525820214140658032745066834443531003304567104561482489,x.137121670912886514838391037386104800115746801913182658729010118825759790838925489908501167851205993066688034948930893636331266977857152758263188464500033325,y.239014729533887305150630422381791592784504113516557215023893939688065747886842793694401358607951774123677217136027678560212244656781335015027305301052541462
63,20,3,8993229949524469768,0.000000000000000000000000000000000000000000000000000000000077667049698816825247045903859153719304266507352795032700666941996920543948811228892104235410213124,0.000000000000000000000000000000000000000000000000000000000077667049698816825247045903859153719303976463223913788466210182071604389148496172743768449093717527,46100860595331327753782525134281403195505409441031099411610412192590360561017,40756680259664337787317293734418135936366600101587916741588241469787632977445,0.398134802636192971062529923241344085749348488211870202528448204837687629031171446214788762409869221086898449535499463414175397730126823079392368690986399610,0.351981560468551638252843210304958528157200973942697829606077830178627743850654853752132651738860362177719108743003595895686585930285793198940791165065029663,0.398134802636192971062529923241344085750835304853621432262672007255986796234800621448580086468979505438912689150041669939135065025026061472174480565754078229,0.351981560468551638252843210304958528158515433362545179457676068060010418208872815007673041318032440097773497262151502915237384167002008553602298892347980765,x.398134802636192971062529923241344085749348488211870202528448204837687629031171446214788762409869221086898449535499463414175397730126823079392368690986399610,y.351981560468551638252843210304958528157200973942697829606077830178627743850654853752132651738860362177719108743003595895686585930285793198940791165065029663,x.398134802636192971062529923241344085750835304853621432262672007255986796234800621448580086468979505438912689150041669939135065025026061472174480565754078229,y.351981560468551638252843210304958528158515433362545179457676068060010418208872815007673041318032440097773497262151502915237384167002008553602298892347980765
64,20,7,17799667357578236628,0.000000000000000000000000000000000000000000000000000000000153720927524658191034670984647320542151491557371750330583046647286475228401189693521247076275625323,0.000000000000000000000000000000000000000000000000000000000153720927524658191034670984647320542150917493432311343723051569798148484627465871727572348603508910,7247729308732252718492345551507130715155957421128527268563563649761751702861,36707592335952288811734416422045697926733415491378770888054924918276179427221,0.062592611951909876921221762213025013409005290953953479104646798604237058198565956208237074189398968967145873562049047395887783137785870010403263909341126234,0.317012954664976987423183016727975455254430317572018804566254619610149005089298844412945136110483170625221466315567857490118935261319078936423845219784810381,0.062592611951909876921221762213025013409239040268217311928923246581425655945063975505532277428788127287514329452163837535302247262068905555424450936410201953,0.317012954664976987423183016727975455255614188295014393607588414007219028974089883726355808860422668029935279653482075143837243985952851094386794396401204166,x.062592611951909876921221762213025013409005290953953479104646798604237058198565956208237074189398968967145873562049047395887783137785870010403263909341126234,y.317012954664976987423183016727975455254430317572018804566254619610149005089298844412945136110483170625221466315567857490118935261319078936423845219784810381,x.062592611951909876921221762213025013409239040268217311928923246581425655945063975505532277428788127287514329452163837535302247262068905555424450936410201953,y.317012954664976987423183016727975455255614188295014393607588414007219028974089883726355808860422668029935279653482075143837243985952851094386794396401204166
65,20,12,30568377312064202855,0.000000000000000000000000000000000000000000000000000000000263993658922711309781398785656865880302849102538644799673724224174955819095651891788912840452524857,0.000000000000000000000000000000000000000000000000000000000263993658922711309781398785656865880301863230008024178319184363470228918567499378215367528647163572,21769406468394979245979020739332080729679479243955596515614749275274212371227,102907830890434238525231690377346540046672568029169549965500018466490455252476,0.188004263605422324522792418006605306655861391196917237826299162417992729262954261369534109869783135682640222217897295336708425261187938687868112006527472662,0.888729373208944912584744608432280103276883322829007886158430418677191770576072502567460280723330699250289562599123103537229423848225775612248009663334682040,0.188004263605422324522792418006605306656563484724028841588930621982920176404716661188525267040524565523179735733958718404360748606037941165224716951679163070,0.888729373208944912584744608432280103280202242987082198689469371790260145985276446546912391655666102252517719041025108289872733540452002464503480450905647629,x.188004263605422324522792418006605306655861391196917237826299162417992729262954261369534109869783135682640222217897295336708425261187938687868112006527472662,y.888729373208944912584744608432280103276883322829007886158430418677191770576072502567460280723330699250289562599123103537229423848225775612248009663334682040,x.188004263605422324522792418006605306656563484724028841588930621982920176404716661188525267040524565523179735733958718404360748606037941165224716951679163070,y.888729373208944912584744608432280103280202242987082198689469371790260145985276446546912391655666102252517719041025108289872733540452002464503480450905647629
66,20,19,46346217550346335726,0.000000000000000000000000000000000000000000000000000000000400253746655867305110971121712095050954258007698167072177950470783817967271367594052396787024273536,0.000000000000000000000000000000000000000000000000000000000400253746655867305110971121712095050952763277954595728799757177029360806995028652946615369320265054,35681022179418186873973468373280332442853574053612577039287936543695937260509,55769436514148338618765508764324988000805241152238207056637568135859289137720,0.308147321759518794449260678232743545148192613953026173110346773348261988910930047245754019783216257237951283766710764016895521432581784003972556057485728947,0.481634253958823818124461492428832526648359328261361311836727592951766415447036546598881258258453432633386991168188605966780904134428828543954080699539834478,0.308147321759518794449260678232743545149343376365830810108589723981945345814912622865565156637355511981601332731760368154979456376921803639205731613712148429,0.481634253958823818124461492428832526650157969875412258836958427058088530750812411310082986859826473070610478045902522471217235672612911634937561356617351593,x.308147321759518794449260678232743545148192613953026173110346773348261988910930047245754019783216257237951283766710764016895521432581784003972556057485728947,y.481634253958823818124461492428832526648359328261361311836727592951766415447036546598881258258453432633386991168188605966780904134428828543954080699539834478,x.308147321759518794449260678232743545149343376365830810108589723981945345814912622865565156637355511981601332731760368154979456376921803639205731613712148429,y.481634253958823818124461492428832526650157969875412258836958427058088530750812411310082986859826473070610478045902522471217235672612911634937561356617351593
