step,action,U,U2,dU,dx,dy,x_block,y_block,y_borrow,x_block_neg,dU_bits,D,D2
P135+6->7,P+G,114364201730699830420040041802395184276359231626149932180300706356495180224030025828274060582815916367335602682996847503346096418296955086467514082749268535,80254419468347256641231827353922882461263050928995846957244684083678478747717042895718576178810546195486201089802434620368346532085947092360609990412192299,-34109782262352573778808214448472301815096180697154085223056022272816701476312982932555484404005370171849401593194412882977749886211007994106904092337076236,-34109782262352573778808214448472301815096180697154085223056022272816701476313,17067444515595994629828150598406805587117022250113788992005893095907662923764,-34109782262352573778808214448472301815096180697154085223056022272816701476313,17067444515595994629828150598406805587117022250113788992005893095907662923764,0,1,514,0.114364201730699830420040041802395184276359231626149932180300706356495180224030025828274060582815916367335602682996847503346096418296955086467514082749268535,0.080254419468347256641231827353922882461263050928995846957244684083678478747717042895718576178810546195486201089802434620368346532085947092360609990412192299
P135+7->8,P+G,80254419468347256641231827353922882461263050928995846957244684083678478747717042895718576178810546195486201089802434620368346532085947092360609990412192299,53086034340749434587685611403763074402132329064662258649611334765077742285383096617516800525435283402891112504571253183274292093916244469960692960176846823,-27168385127597822053546215950159808059130721864333588307633349318600736462333946278201775653375262792595088585231181437094054438169702622399917030235345476,-27168385127597822053546215950159808059130721864333588307633349318600736462334,53721798224346624737207404911414768818562905945561830297377600082969764654524,-27168385127597822053546215950159808059130721864333588307633349318600736462334,53721798224346624737207404911414768818562905945561830297377600082969764654524,0,1,514,0.080254419468347256641231827353922882461263050928995846957244684083678478747717042895718576178810546195486201089802434620368346532085947092360609990412192299,0.053086034340749434587685611403763074402132329064662258649611334765077742285383096617516800525435283402891112504571253183274292093916244469960692960176846823
P135+8->9,P+G,53086034340749434587685611403763074402132329064662258649611334765077742285383096617516800525435283402891112504571253183274292093916244469960692960176846823,78689922393028057480817231171094962045489590067320370979229773218750554323853084251071361287411455727754786959646960200977015913811996910136827476092245556,25603888052278622893131619767331887643357261002658112329618438453672812038469987633554560761976172324863674455075707017702723819895752440176134515915398733,25603888052278622893131619767331887643357261002658112329618438453672812038470,-12366445439238023827675136325544924292982297276180104247559823865484084601267,25603888052278622893131619767331887643357261002658112329618438453672812038469,987633554560761976172324863674455075707017702723819895752440176134515915398733,1,0,513,0.053086034340749434587685611403763074402132329064662258649611334765077742285383096617516800525435283402891112504571253183274292093916244469960692960176846823,0.078689922393028057480817231171094962045489590067320370979229773218750554323853084251071361287411455727754786959646960200977015913811996910136827476092245556
P135+9->10,P+G,78689922393028057480817231171094962045489590067320370979229773218750554323853084251071361287411455727754786959646960200977015913811996910136827476092245556,1844751454740437253292354787956514374415889314336197236625667825343345719281040276139469292909840447964516963629171942729927955775891849404781066064679408,-76845170938287620227524876383138447671073700752984173742604105393407208604572043974931891994501615279790269996017788258247087958036105060732046410027566148,-76845170938287620227524876383138447671073700752984173742604105393407208604572,-43974931891994501615279790269996017788258247087958036105060732046410027566148,-76845170938287620227524876383138447671073700752984173742604105393407208604573,956025068108005498384720209730003982211741752912041963894939267953589972433852,1,1,515,0.078689922393028057480817231171094962045489590067320370979229773218750554323853084251071361287411455727754786959646960200977015913811996910136827476092245556,0.001844751454740437253292354787956514374415889314336197236625667825343345719281040276139469292909840447964516963629171942729927955775891849404781066064679408
P135+10->11,P+G,1844751454740437253292354787956514374415889314336197236625667825343345719281040276139469292909840447964516963629171942729927955775891849404781066064679408,54585352044273844942696070874444476001644665367373908829329472010127359485180052693900030010352260527879615261924061776582961259785069677675509338287077445,52740600589533407689403716086487961627228776053037711592703804184784013765899012417760560717442420079915098298294889833853033304009177828270728272222398037,52740600589533407689403716086487961627228776053037711592703804184784013765899,12417760560717442420079915098298294889833853033304009177828270728272222398037,52740600589533407689403716086487961627228776053037711592703804184784013765899,12417760560717442420079915098298294889833853033304009177828270728272222398037,0,0,514,0.001844751454740437253292354787956514374415889314336197236625667825343345719281040276139469292909840447964516963629171942729927955775891849404781066064679408,0.054585352044273844942696070874444476001644665367373908829329472010127359485180052693900030010352260527879615261924061776582961259785069677675509338287077445
P135+11->12,P+G,54585352044273844942696070874444476001644665367373908829329472010127359485180052693900030010352260527879615261924061776582961259785069677675509338287077445,105632171384979653808347705145260344903943940781758887687359204853794989591243106184461919246271936121530032341784390387890019184809022456778689834312737354,51046819340705808865651634270815868902299275414384978858029732843667630106063053490561889235919675593650417079860328611307057925023952779103180496025659909,51046819340705808865651634270815868902299275414384978858029732843667630106063,53490561889235919675593650417079860328611307057925023952779103180496025659909,51046819340705808865651634270815868902299275414384978858029732843667630106063,53490561889235919675593650417079860328611307057925023952779103180496025659909,0,0,514,0.054585352044273844942696070874444476001644665367373908829329472010127359485180052693900030010352260527879615261924061776582961259785069677675509338287077445,0.105632171384979653808347705145260344903943940781758887687359204853794989591243106184461919246271936121530032341784390387890019184809022456778689834312737354
P135+12->13,P+G,105632171384979653808347705145260344903943940781758887687359204853794989591243106184461919246271936121530032341784390387890019184809022456778689834312737354,109647146945231901994644887348542843199278650935135577266255473144640694422793026233454521444019273097177709853816107968087456722212981719689497068281751466,4014975560252248186297182203282498295334710153376689578896268290845704831549920048992602197747336975647677512031717580197437537403959262910807233969014112,4014975560252248186297182203282498295334710153376689578896268290845704831550,-79951007397802252663024352322487968282419802562462596040737089192766030985888,4014975560252248186297182203282498295334710153376689578896268290845704831549,920048992602197747336975647677512031717580197437537403959262910807233969014112,1,0,511,0.105632171384979653808347705145260344903943940781758887687359204853794989591243106184461919246271936121530032341784390387890019184809022456778689834312737354,0.109647146945231901994644887348542843199278650935135577266255473144640694422793026233454521444019273097177709853816107968087456722212981719689497068281751466
P135+13->14,P+G,109647146945231901994644887348542843199278650935135577266255473144640694422793026233454521444019273097177709853816107968087456722212981719689497068281751466,83779067176885088805479344926277585255321842501482958010463300174392041112286061914025263566786502623798922603733020823829609278470173267613740765410306585,-25868079768346813189165542422265257943956808433652619255792172970248653310506964319429257877232770473378787250083087144257847443742808452075756302871444881,-25868079768346813189165542422265257943956808433652619255792172970248653310507,35680570742122767229526621212749916912855742152556257191547924243697128555119,-25868079768346813189165542422265257943956808433652619255792172970248653310507,35680570742122767229526621212749916912855742152556257191547924243697128555119,0,1,513,0.109647146945231901994644887348542843199278650935135577266255473144640694422793026233454521444019273097177709853816107968087456722212981719689497068281751466,0.083779067176885088805479344926277585255321842501482958010463300174392041112286061914025263566786502623798922603733020823829609278470173267613740765410306585
P135+14->15,P+G,83779067176885088805479344926277585255321842501482958010463300174392041112286061914025263566786502623798922603733020823829609278470173267613740765410306585,114637651270937004493378049522109886747768779344243313956830749837777774164894020142268901807666213750240265307076835720150286198843780381665336235673634364,30858584094051915687898704595832301492446936842760355946367449663385733052607958228243638240879711126441342703343814896320676920373607114051595470263327779,30858584094051915687898704595832301492446936842760355946367449663385733052608,-41771756361759120288873558657296656185103679323079626392885948404529736672221,30858584094051915687898704595832301492446936842760355946367449663385733052607,958228243638240879711126441342703343814896320676920373607114051595470263327779,1,0,514,0.083779067176885088805479344926277585255321842501482958010463300174392041112286061914025263566786502623798922603733020823829609278470173267613740765410306585,0.114637651270937004493378049522109886747768779344243313956830749837777774164894020142268901807666213750240265307076835720150286198843780381665336235673634364
P135+15->16,P+G,114637651270937004493378049522109886747768779344243313956830749837777774164894020142268901807666213750240265307076835720150286198843780381665336235673634364,28953345671479902774755203618211198858135932181214278500983184364604892814441038163506283171270370637463725269460217414632241675780931848124979669875593245,-85684305599457101718622845903898687889632847163029035455847565473172881350452981978762618636395843112776540037616618305518044523062848533540356565798041119,-85684305599457101718622845903898687889632847163029035455847565473172881350453,18021237381363604156887223459962383381694481955476937151466459643434201958881,-85684305599457101718622845903898687889632847163029035455847565473172881350453,18021237381363604156887223459962383381694481955476937151466459643434201958881,0,1,515,0.114637651270937004493378049522109886747768779344243313956830749837777774164894020142268901807666213750240265307076835720150286198843780381665336235673634364,0.028953345671479902774755203618211198858135932181214278500983184364604892814441038163506283171270370637463725269460217414632241675780931848124979669875593245
